ts_datenstand,ts_download,bundesland,bundesland_iso,impfungen_kumulativ,differenz_zum_vortag,indikation_nach_alter,berufliche_indikation,medizinische_indikation,pflegeheim_bewohner_in,notes
2020-12-31T07:30:00Z,2020-12-31T13:25:27Z,Baden-Württemberg,BW,12649,4407,5347,4196,763,1831,NA
2020-12-31T07:30:00Z,2020-12-31T13:25:27Z,Bayern,BY,28206,15104,5831,13981,424,10347,NA
2020-12-31T07:30:00Z,2020-12-31T13:25:27Z,Berlin,BE,9084,2788,6554,2733,105,6350,NA
2020-12-31T07:30:00Z,2020-12-31T13:25:27Z,Brandenburg,BB,3036,1483,204,2812,20,224,NA
2020-12-31T07:30:00Z,2020-12-31T13:25:27Z,Bremen,HB,1691,601,821,408,5,510,NA
2020-12-31T07:30:00Z,2020-12-31T13:25:27Z,Hamburg,HH,2040,541,832,1042,NA,999,NA
2020-12-31T07:30:00Z,2020-12-31T13:25:27Z,Hessen,HE,15674,6226,4677,8681,712,6512,NA
2020-12-31T07:30:00Z,2020-12-31T13:25:27Z,Mecklenburg-Vorpommern,MV,11101,3640,173,6349,7,4651,NA
2020-12-31T07:30:00Z,2020-12-31T13:25:27Z,Niedersachsen,NI,2705,1178,296,1512,315,1423,NA
2020-12-31T07:30:00Z,2020-12-31T13:25:27Z,Nordrhein-Westfalen,NW,19930,7359,NA,6610,NA,13693,NA
2020-12-31T07:30:00Z,2020-12-31T13:25:27Z,Rheinland-Pfalz,RP,4247,1673,NA,1941,NA,2306,NA
2020-12-31T07:30:00Z,2020-12-31T13:25:27Z,Saarland,SL,2119,601,1641,161,NA,899,NA
2020-12-31T07:30:00Z,2020-12-31T13:25:27Z,Sachsen,SN,2653,1166,150,2460,1,192,NA
2020-12-31T07:30:00Z,2020-12-31T13:25:27Z,Sachsen-Anhalt,ST,10100,2813,3107,5068,300,4815,NA
2020-12-31T07:30:00Z,2020-12-31T13:25:27Z,Schleswig-Holstein,SH,5581,1747,1385,3361,1175,2241,NA
2020-12-31T07:30:00Z,2020-12-31T13:25:27Z,Thüringen,TH,810,138,232,297,NA,413,NA
